,Unnamed: 0,News,Label
532,382,GOP presidential candidates hammer on 'top secret' Clinton emails in final days before Iowa Caucus,TRUE
1055,905,Pakistan expels India diplomat in tit-for-tat move,FALSE
1052,902,"Plutocrats love Jeb, but voters dont: Bushs electability argument is getting even weaker",TRUE
1067,917,Carly Fiorina swipes at Trump: Look at this face.,TRUE
676,526,Trump Team Begins Making List Of Executive Orders To Erase Obamas Presidency On Day One,FALSE
1311,1161,Theyre already trying to steal 2016: Inside the GOP voting-rights scheme intended to derail democracy,TRUE
1348,1198,What does Rick Perry have?,TRUE
1109,959,Two-time world champion in kickboxing killed in Moscow. Video,FALSE
576,426,News: A Somber Moment: Cubs Fans All Over The World Are Still Too Sad About Princess Diana To Celebrate The Cubs World Series,FALSE
964,814,Brexit and the Law,FALSE
1099,949,AUSTRIA: Freedom Party leader calls Chancellor Angela Merkel the most dangerous woman in Europe,FALSE
975,825,Here are the top five things to watch in tonight's debate,TRUE
952,802,Obama hits the trail for Hillary Clinton: Will he help or hurt?,TRUE
105,105,Sen. Obama has always had a 100 percent prochoice rating.,TRUE
75,75,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",TRUE
551,401,Obama: Syria war unlikely to end during his presidency,TRUE
122,122,Says 88 Texas constables have died in the line of duty.,TRUE
691,541,The Fatal Expense Of American Imperialism,FALSE
185,35,First Ever Hindu Woman Elected into Congress,FALSE
861,711,Google And God,FALSE
42,42,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",FALSE
307,157,Martin OMalley Praises Senate Democrats for Holding Up Trade Deal,TRUE
902,752,Why Greece and Iran seem willing to take on the world (+video),TRUE
554,404,Comment on Indoor Gardening Made Easy: The Nutritower! by Indoor Gardening Made Easy: The Nutritower!  Collective EvolutionGardening Business News UK | Gardening Business News UK,FALSE
473,323,BREAKING : TED CRUZ CALLS FOR SPECIAL PROSECUTOR TO INVESTIGATE HILLARY  TruthFeed,FALSE
1073,923,"Terror attack over, 147 dead at Kenya university",TRUE
936,786,Babylon Mystery Religion Series,FALSE
1140,990,Some GOP elites arent quite convinced by Trump charm offensive,TRUE
653,503,Obama seeks to calm fears over terrorism ahead of holiday season,TRUE
608,458,Scott Walker's stealth 2016 strategy,TRUE
217,67,FBI checking if Orlando shooter's wife knew attack plan but didn't warn police,TRUE
1324,1174,Scott Walkers economic mess: How worker wages were gutted in Wisconsin,TRUE
1128,978,Barack Obama Marks 50th Anniversary Of 'Bloody Sunday' With Powerful Speech In Selma,TRUE
294,144,Is the Iran deal unraveling? Think again. | Institution,TRUE
1450,1300,"Bobby Jindal, raised Hindu, uses story of Christian conversion to woo evangelicals for potential 2016 bid",TRUE
80,80,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,TRUE
955,805,New Saudi king ascends to the throne as terrorism threat grows,TRUE
1063,913,Exclusive: Foreign Isis Fighters Defend Mosul Frontline as Locals Flee,FALSE
864,714,Is it necessary to break the law to improve your standard of living?,FALSE
988,838,"Life: When These Third-Graders Saw Their Classmate Didnt Have A Lunch, They Kept Feeding Him More And More Lunches Until He Clogged The Door And Got School Canceled",FALSE
199,49,American politics has reached peak polarization,TRUE
453,303,Gay marriage victory at Supreme Court triggering backlash,TRUE
9,9,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,TRUE
1200,1050,The Pope vs. America,TRUE
193,43,"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trumps Friday meltdown",TRUE
